epoch,task,loss_avg,loss_test,acc_test,all_acc,best_acc,epoch_time_sec,total_time_sec
0.0,0.0,4.13898488278616,2.4183166367458315,8.161824191058404,11.19847707333223,11.19847707333223,10.945028305053713,
1.0,0.0,3.963465428454536,2.307212554712291,11.436049229937776,13.01936765436186,13.01936765436186,10.61191177368164,
2.0,0.0,3.823133387349901,2.034404417109828,24.09766342459659,21.668597914252608,21.668597914252608,11.299340963363647,
3.0,0.0,3.6200661037990014,1.810489473150376,38.77932635885473,36.47574904817083,36.47574904817083,10.685262203216553,
4.0,0.0,3.3726552745501204,1.6512460138800733,40.44275186410989,39.016719086244,39.016719086244,10.881464958190918,
5.0,0.0,3.4358954344931107,1.6599752540147954,39.24462379189977,41.23489488495282,41.23489488495282,11.557090759277344,
6.0,0.0,3.304618698914846,1.6792834667256429,42.05083579238305,41.90531368978646,41.90531368978646,9.53163480758667,
7.0,0.0,3.192489388034457,1.5013833733009592,47.10262411568471,46.78033438172488,46.78033438172488,11.229729175567629,
8.0,0.0,3.1148966419696813,1.475351842031849,48.94061210151377,46.75550405561993,46.78033438172488,10.358238220214844,
9.0,0.0,3.205327407712028,1.568783088703062,46.00524464249956,43.05578546598245,46.78033438172488,11.626088857650757,
10.0,1.0,3.2730687135458,1.4952393379525293,44.77278619716739,44.818738619433866,46.78033438172488,13.21444320678711,
11.0,1.0,3.110106524308522,1.4962113692306038,44.50510289984594,45.04221155437841,46.78033438172488,10.640440940856934,
12.0,1.0,3.194163265148799,1.49873592655305,44.28552539806842,45.38155934447939,46.78033438172488,12.119205951690674,
13.0,1.0,3.153614187569845,1.4996521832067229,42.44410789714054,44.57043535838437,46.78033438172488,10.677303314208984,
14.0,1.0,2.965892303387324,1.451034277721247,44.90271525208193,46.86310213540804,46.86310213540804,11.621542692184448,
15.0,1.0,2.966354330221812,1.42832940736043,46.69502383741535,46.929316338354575,46.929316338354575,10.944185018539429,
16.0,1.0,3.014301204113733,1.4239282063644485,49.319307046683534,48.16255586823374,48.16255586823374,11.6250581741333,
17.0,1.0,3.100070644304866,1.502487280821817,44.73242964988855,45.447773547425925,48.16255586823374,12.882492780685425,
18.0,1.0,3.02615382874012,1.3961904406511838,50.58679894284499,49.06472438338024,49.06472438338024,13.580471754074097,
19.0,1.0,3.026994436110769,1.4212592770197845,49.36113068196299,48.95712630359212,49.06472438338024,12.207871675491331,
20.0,2.0,3.0979408951419773,1.3477267823085213,53.92830935581897,52.67339844396623,52.67339844396623,16.465900897979736,
21.0,2.0,2.987326501250267,1.2822332352385843,54.36214159223231,53.3603707995365,53.3603707995365,16.396424770355225,
22.0,2.0,2.969016665639299,1.2975751601897276,52.85434904662539,52.044363515974176,53.3603707995365,19.46062111854553,
23.0,2.0,2.9536033433856383,1.2824075103407622,54.22244360891625,53.03757656017216,53.3603707995365,19.62451267242432,
24.0,2.0,2.9731282062939925,1.246216619708758,56.71401952783359,54.94951167025327,54.94951167025327,17.814154863357544,
25.0,2.0,2.8506382526768235,1.216733921600334,56.03945712545824,55.09849362688297,55.09849362688297,16.097266674041748,
26.0,2.0,2.834768132035694,1.2474623242007503,55.5847972486347,54.1135573580533,55.09849362688297,15.145744562149048,
27.0,2.0,2.816039175163616,1.2252595662694206,56.71187346212493,55.51233239529879,55.51233239529879,14.90414834022522,
28.0,2.0,2.7215910242703054,1.2113619626864127,57.58555312227768,55.34679688793246,55.51233239529879,18.59721827507019,
29.0,2.0,2.751043015631332,1.277260178816368,54.9484759483081,53.56729018374441,55.51233239529879,18.60521531105041,
30.0,3.0,3.0321525858016245,1.275937404625553,55.69386679682371,54.95778844562159,55.51233239529879,13.678154706954956,
31.0,3.0,2.992440624634425,1.158064211408265,59.60348539020491,58.102963085581855,58.102963085581855,12.681957960128784,
32.0,3.0,2.892430686042422,1.151761784232264,60.58079497671027,59.62588975335209,59.62588975335209,14.682020664215088,
33.0,3.0,2.891389720871335,1.194587475938784,58.80695212714669,58.483694752524414,59.62588975335209,15.015671968460085,
