epoch,task,loss_avg,loss_test,acc_test,all_acc,best_acc,epoch_time_sec,total_time_sec
0.0,0.0,6.661784221649169,3.463989791793458,8.838340023126174,4.131684730066657,4.131684730066657,34.991408348083496,
1.0,0.0,6.455704170276249,3.2389804266357074,12.045547199778332,8.660255431740701,8.660255431740701,30.98866581916809,
2.0,0.0,6.179055784100578,2.6044536563097918,25.579393362022337,20.97898539663156,20.97898539663156,34.40206432342529,
3.0,0.0,5.894088533658829,1.4779583012322426,68.48623913793152,63.59843280924032,63.59843280924032,32.16718006134033,
4.0,0.0,5.67125972950407,1.13719572734482,74.51330095564848,71.82618429756272,71.82618429756272,35.50442743301392,
5.0,0.0,5.435281014579371,1.082934733242969,75.07318532892675,72.15183432554826,72.15183432554826,33.41639518737793,
6.0,0.0,5.42800734902185,0.8862203521518575,79.16046060079785,77.18923319594973,77.18923319594973,33.19558525085449,
7.0,0.0,5.292305627456819,0.7352405154934639,82.68644301256158,80.0742889126342,80.0742889126342,34.13857579231262,
8.0,0.0,5.151688459670217,0.660502018931111,83.85537968724653,81.84501093980563,81.84501093980563,30.87991428375244,
9.0,0.0,5.121424533500301,0.6028644924897516,85.23309180924761,83.54449702335522,83.54449702335522,33.345985651016235,
10.0,1.0,5.222091111579479,0.5620539518367154,85.04682406344699,85.88510659950134,85.88510659950134,35.95937657356262,
11.0,1.0,5.124983075994292,0.4894728116745176,87.71551341772089,87.88988958428739,87.88988958428739,34.23536229133606,
12.0,1.0,5.013067212572245,0.4365103742450784,89.02615914745502,88.69892637256399,88.69892637256399,30.36543607711792,
13.0,1.0,4.916529677300225,0.4100335790803759,88.99866226082158,89.06528265404773,89.06528265404773,27.835198640823364,
14.0,1.0,4.952018864958205,0.3909495891743333,89.41367113791696,89.50287487915331,89.50287487915331,31.938958168029785,
15.0,1.0,4.920372528314347,0.3826030527509843,89.8004321752254,89.71149442833155,89.71149442833155,31.04110097885132,
16.0,1.0,4.819378703440078,0.3594573251194585,90.06802476927791,89.98117335775709,89.98117335775709,27.12722229957581,
17.0,1.0,4.849108080867737,0.362735524254708,90.54280690864502,89.92520225919706,89.98117335775709,29.74658417701721,
18.0,1.0,4.867902586767947,0.3350267200664529,91.05624254541176,90.3729710476772,90.3729710476772,34.28618264198303,
19.0,1.0,4.79904583989561,0.329123834143679,90.98172337063208,90.5663257517936,90.5663257517936,29.615129232406616,
20.0,2.0,5.075734105780011,0.3718616938667659,90.50537681427592,90.88179921640462,90.88179921640462,33.946130990982056,
21.0,2.0,4.999360853197943,0.3399611027144532,91.72611019972108,90.91741718821554,90.91741718821554,33.71284008026123,
22.0,2.0,4.975633954706646,0.3300170460287518,90.3124212011417,91.06497735714647,91.06497735714647,32.647791147232056,
23.0,2.0,4.933039978670696,0.3073780639423236,91.3246499641172,91.51274614562662,91.51274614562662,34.174949169158936,
24.0,2.0,4.926237244917028,0.3012729455413366,91.75822710031665,91.3600976950084,91.51274614562662,33.35011625289917,
25.0,2.0,4.884668473834084,0.294481822977379,91.72463729855842,91.45168676537934,91.51274614562662,32.04411458969116,
26.0,2.0,4.866688752613371,0.2798424843625607,92.05175194810016,91.93507352567038,91.93507352567038,32.36592364311218,
27.0,2.0,4.856946904399178,0.271925994263884,91.80775638541124,92.22001730015774,92.22001730015774,37.14150094985962,
28.0,2.0,4.7629878170830855,0.2674976945243997,92.23086009215582,92.17931104665956,92.22001730015774,33.818448543548584,
29.0,2.0,4.879797955951993,0.2826229256660301,92.07768815669178,91.83839617361215,92.22001730015774,32.58029508590698,
30.0,3.0,5.0013173824946096,0.2865428414603286,92.08517518031992,92.33704777896504,92.33704777896504,36.03427290916443,
31.0,3.0,4.942437636517344,0.2763943690507723,92.80365551060753,92.15386963822316,92.33704777896504,34.770984411239624,
32.0,3.0,4.8763477281350935,0.2676525276397836,92.5681267875658,92.47951966620872,92.47951966620872,32.721155881881714,
33.0,3.0,4.78079478480324,0.2608152397629792,92.65732775399503,92.6219915534524,92.6219915534524,27.93823838233948,
34.0,3.0,4.8766370062033335,0.2620364690418629,92.60842550893186,92.41846028596144,92.6219915534524,32.887436389923096,
35.0,3.0,4.944241113371318,0.2843220744016174,91.54480268059471,90.96830000508828,92.6219915534524,32.463926792144775,
36.0,3.0,4.894249937362142,0.2615706121793176,92.63886842793856,92.6016384267033,92.6219915534524,33.7306067943573,
37.0,3.0,4.782041187922159,0.2450086494163942,93.25070505135724,92.88149391950338,92.88149391950338,30.45254588127136,
38.0,3.0,4.804039354642232,0.2462041811839505,93.50663742536992,92.6779626520124,92.88149391950338,30.020548582077023,
39.0,3.0,4.816287652956115,0.2472207400745616,93.14866351651554,92.75428687732152,92.88149391950338,31.744606494903564,
40.0,4.0,4.82932631100927,0.2420014327373018,93.25185543758118,93.115554877118,93.115554877118,26.80281162261963,
41.0,4.0,4.76352647535832,0.2382042167180672,92.998152157362,93.37505724316898,93.37505724316898,26.33231329917908,
42.0,4.0,4.799688090237705,0.2434347253077373,92.69617558938543,93.26820332773622,93.37505724316898,30.551109313964844,
43.0,4.0,4.760089319498852,0.2282319613015773,93.00009084762615,93.5684119472854,93.5684119472854,28.088565826416016,
44.0,4.0,4.749947822847064,0.2321465926239791,92.92400983227772,93.46664631353993,93.5684119472854,30.48141098022461,
45.0,4.0,4.686277052512244,0.2207879685483219,93.31554863960676,93.73632524296544,93.73632524296544,28.75765895843506,
46.0,4.0,4.720766074975332,0.2413425444149344,92.91190334769333,93.22240879255077,93.73632524296544,27.703732013702396,
47.0,4.0,4.678668004830678,0.2239668042391744,93.38590680750144,93.62438304584542,93.73632524296544,26.761242866516117,
48.0,4.0,4.638364190067564,0.2296048270121551,93.37381135935394,93.66000101765634,93.73632524296544,28.332575798034668,
49.0,4.0,4.6068769200126845,0.2192662283075407,93.57086733368708,93.71088383452908,93.73632524296544,30.00588798522949,
50.0,5.0,4.856849752750232,0.1687638308175231,95.29461882929576,93.53788225716175,93.73632524296544,32.836950063705444,
