epoch,task,loss_avg,loss_test,acc_test,all_acc,best_acc,smi,tdi
0.0,0.0,27.266589480294122,5.306457336984001,0.7478294121386873,0.48416101812145523,0.48416101812145523,,
1.0,0.0,8.146305123404852,5.252372977968927,0.762000103953996,0.7101028265781344,0.7101028265781344,,
2.0,0.0,5.275457207649473,5.102679908165259,2.546999831740998,1.8582560981232996,1.8582560981232996,,
3.0,0.0,4.570459254734099,4.928685419136121,4.12481058841534,3.329183381749435,3.329183381749435,,
4.0,0.0,4.1885823512153015,4.8300500588242725,4.978605322475275,4.057730437589339,4.057730437589339,,
5.0,0.0,3.953219717703169,4.7685392337801185,6.530620354059096,5.145939964033753,5.145939964033753,,
6.0,0.0,3.8086869220336275,4.705604796696557,7.253745596363267,6.077373541753124,6.077373541753124,,
7.0,0.0,3.605383066306038,4.678461814681448,8.014102356978299,6.252593719739936,6.252593719739936,,
8.0,0.0,3.500978070262879,4.646944264278918,7.61330105714139,6.635311476921658,6.635311476921658,,
9.0,0.0,3.412164908963537,4.622610933035376,8.805974148080569,7.539078710748375,7.539078710748375,0.2714386499590344,
10.0,1.0,3.8840731587778095,4.535976510191327,10.499602768413023,9.171393000414994,9.171393000414994,,
11.0,1.0,3.7270603625796754,4.471234241481359,11.234068301552037,9.82616313920782,9.82616313920782,,
12.0,1.0,3.755743323963786,4.496465528258665,10.829217650290289,9.687831419744548,9.82616313920782,,
13.0,1.0,3.5762551124228366,4.4463514322184805,11.454162501247618,10.102826578134366,10.102826578134366,,
14.0,1.0,3.5187106453288686,4.4029243856204205,12.06304879141261,10.476322220685203,10.476322220685203,,
15.0,1.0,3.476797122630206,4.398702612637921,12.336377969476292,10.651542398672015,10.651542398672015,,
16.0,1.0,3.4325763457731426,4.416460064963319,11.944966638264559,10.254991469543967,10.651542398672015,,
17.0,1.0,3.3782396024219565,4.339467007046403,13.18393564136602,11.393922626458247,11.393922626458247,,
18.0,1.0,3.3309633829328753,4.344855143874092,12.710832889346111,11.287868308203072,11.393922626458247,,
19.0,1.0,3.29278220135395,4.284471956232595,12.961341818197269,12.27463457370775,12.27463457370775,0.3289137162268162,0.36799189567565915
20.0,2.0,3.613804182151008,4.233853465485969,14.340109567066415,13.671784940286807,13.671784940286807,,
21.0,2.0,3.485973061818065,4.178717209678666,14.779467287648947,14.303499792502421,14.303499792502421,,
22.0,2.0,3.375355223835117,4.160887175711003,15.504688567396183,14.123668557200165,14.303499792502421,,
23.0,2.0,3.443531755441712,4.15123077116281,16.338596339039388,14.626273804583391,14.626273804583391,,
24.0,2.0,3.290587977142733,4.123239943184697,16.086652190370717,14.686217549684143,14.686217549684143,,
25.0,2.0,3.3865192060916116,4.156176877027091,15.813805825754557,14.128279614515609,14.686217549684143,,
26.0,2.0,3.26882330203538,4.147768587823519,16.274124744697147,14.423387282703924,14.686217549684143,,
